Season,Player,Position,Age,Team,TeamID,Years of Service,GP,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB_total,AST_total,STL_total,BLK_total,TOV_total,PF_total,PTS_total,PER,TS%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS_total,DWS_total,WS_total,WS/48,OBPM,DBPM,BPM,VORP_total,Wins,Losses,Salary,Injured,Injury_Periods,Total_Days_Injured,Injury_Risk,Salary Cap,Luxury Tax,1st Apron,BAE,Standard /Non-Taxpayer,Taxpayer,Team Room /Under Cap,Salary_Cap_Inflated
2018-19,Alfonzo McKinnie,Forward,26.0,GSW,1610612744,1.0,72.0,5.0,1003.0,134.0,275.0,0.49,42.0,118.0,0.36,92.0,157.0,0.59,0.56,27.0,48.0,0.56,81.0,166.0,247.0,31.0,18.0,15.0,30.0,134.0,337.0,11.2,0.57,9.0,16.9,13.1,4.0,0.9,1.3,9.2,13.9,1.2,0.9,2.1,0.1,-2.2,-1.3,-3.5,-0.4,57.0,25.0,1349383.0,False,Not_injured,0.0,Low Risk,101869000.0,123733000.0,129817000.0,3382000.0,8641000.0,5337000.0,4449000.0,118724178.12
2018-19,Alize Johnson,Forward,23.0,IND,1610612754,0.0,14.0,0.0,64.0,4.0,16.0,0.25,1.0,2.0,0.5,3.0,14.0,0.21,0.28,4.0,8.0,0.5,4.0,15.0,19.0,1.0,1.0,3.0,0.0,7.0,13.0,6.3,0.33,7.1,25.5,16.5,2.0,0.8,4.2,0.0,13.3,-0.1,0.1,0.0,0.03,-5.7,-2.0,-7.7,-0.1,48.0,34.0,838464.0,True,2018-10-17 - 2018-10-19; 2018-10-24 - 2018-10-27; 2018-10-29 - 2018-12-04; 2018-12-18 - 2019-01-08; 2019-01-30 - 2019-04-03; 2019-03-27 - 2019-04-03,132.0,High Risk,101869000.0,123733000.0,129817000.0,3382000.0,8641000.0,5337000.0,4449000.0,118724178.12
2018-19,Allen Crabbe,Guard-Forward,27.0,BKN,1610612751,5.0,43.0,20.0,1133.0,137.0,373.0,0.37,98.0,259.0,0.38,39.0,114.0,0.34,0.5,41.0,56.0,0.73,16.0,132.0,148.0,46.0,23.0,13.0,46.0,102.0,413.0,7.7,0.52,1.5,12.2,6.9,5.8,1.0,0.9,10.4,16.4,-0.2,1.0,0.8,0.04,-2.4,-0.4,-2.8,-0.2,42.0,40.0,19332500.0,True,2018-10-17 - 2018-10-19; 2018-12-14 - 2019-02-06; 2019-03-16 - 2019-11-10,295.0,High Risk,101869000.0,123733000.0,129817000.0,3382000.0,8641000.0,5337000.0,4449000.0,118724178.12
2018-19,Allonzo Trier,Guard,23.0,NYK,1610612752,0.0,64.0,3.0,1459.0,232.0,518.0,0.45,52.0,132.0,0.39,180.0,386.0,0.47,0.5,179.0,223.0,0.8,31.0,166.0,197.0,119.0,28.0,14.0,116.0,117.0,695.0,12.2,0.56,2.2,12.2,7.1,12.9,0.9,0.8,15.8,21.5,0.4,0.5,0.9,0.03,-1.6,-1.5,-3.1,-0.4,17.0,65.0,3382000.0,True,2018-12-12 - 2018-12-25; 2019-03-20 - 2019-12-20,288.0,High Risk,101869000.0,123733000.0,129817000.0,3382000.0,8641000.0,5337000.0,4449000.0,118724178.12
2018-19,Amir Johnson,Center-Forward,32.0,PHI,1610612755,13.0,51.0,6.0,529.0,79.0,157.0,0.5,12.0,40.0,0.3,67.0,117.0,0.57,0.54,31.0,41.0,0.76,47.0,100.0,147.0,60.0,16.0,13.0,45.0,99.0,201.0,13.1,0.57,9.7,19.5,14.7,16.0,1.4,1.9,20.5,17.4,0.4,0.7,1.1,0.1,-2.9,0.6,-2.3,0.0,51.0,31.0,2393887.0,True,2019-07-01 - 2030-06-19,4006.0,High Risk,101869000.0,123733000.0,129817000.0,3382000.0,8641000.0,5337000.0,4449000.0,118724178.12
2018-19,Andre Drummond,Center,25.0,DET,1610612765,6.0,79.0,79.0,2647.0,561.0,1052.0,0.53,5.0,38.0,0.13,556.0,1014.0,0.55,0.54,243.0,412.0,0.59,423.0,809.0,1232.0,112.0,136.0,138.0,175.0,272.0,1370.0,23.4,0.56,16.8,34.7,25.4,7.2,2.5,4.4,12.4,22.9,4.1,5.9,10.0,0.18,1.3,0.8,2.1,2.7,41.0,41.0,25434262.0,True,2019-01-19 - 2019-01-25,6.0,Low Risk,101869000.0,123733000.0,129817000.0,3382000.0,8641000.0,5337000.0,4449000.0,118724178.12
2018-19,Andre Iguodala,Guard-Forward,35.0,GSW,1610612744,14.0,68.0,13.0,1578.0,151.0,302.0,0.5,48.0,144.0,0.33,103.0,158.0,0.65,0.58,39.0,67.0,0.58,48.0,204.0,252.0,216.0,61.0,51.0,52.0,95.0,389.0,13.1,0.59,3.4,13.2,8.5,16.8,1.8,2.7,13.6,10.4,2.4,1.8,4.2,0.13,0.1,1.7,1.8,1.5,57.0,25.0,16000000.0,True,2018-10-19 - 2018-10-21; 2018-11-05 - 2018-11-08; 2018-12-12 - 2018-12-17; 2019-02-10 - 2019-02-12; 2019-02-13 - 2019-02-21; 2019-02-28 - 2019-03-02; 2019-03-18 - 2019-03-19; 2019-04-04 - 2019-04-10; 2019-05-20 - 2019-05-30,39.0,High Risk,101869000.0,123733000.0,129817000.0,3382000.0,8641000.0,5337000.0,4449000.0,118724178.12
2018-19,Andrew Wiggins,Forward,24.0,MIN,1610612750,4.0,73.0,73.0,2543.0,498.0,1209.0,0.41,118.0,348.0,0.34,380.0,861.0,0.44,0.46,207.0,296.0,0.7,83.0,269.0,352.0,184.0,70.0,48.0,138.0,153.0,1321.0,12.4,0.49,3.5,11.4,7.4,10.9,1.3,1.6,9.3,24.4,-0.6,1.3,0.6,0.01,-1.2,-1.8,-3.0,-0.6,36.0,46.0,25467250.0,True,2018-10-24 - 2018-10-31; 2018-11-09 - 2018-11-12; 2019-02-11 - 2019-02-21; 2019-03-10 - 2019-03-14,24.0,High Risk,101869000.0,123733000.0,129817000.0,3382000.0,8641000.0,5337000.0,4449000.0,118724178.12
2018-19,Anfernee Simons,Guard,20.0,POR,1610612757,0.0,20.0,1.0,141.0,28.0,63.0,0.44,10.0,29.0,0.34,18.0,34.0,0.53,0.52,9.0,16.0,0.56,3.0,10.0,13.0,13.0,1.0,0.0,11.0,9.0,75.0,11.1,0.54,2.3,7.4,4.9,13.7,0.3,0.0,13.6,24.3,0.0,0.0,0.1,0.02,-1.5,-3.7,-5.3,-0.1,53.0,29.0,1837800.0,False,Not_injured,0.0,Low Risk,101869000.0,123733000.0,129817000.0,3382000.0,8641000.0,5337000.0,4449000.0,118724178.12
2018-19,Anthony Davis,Forward-Center,26.0,NOP,1610612740,6.0,56.0,56.0,1850.0,530.0,1026.0,0.52,48.0,145.0,0.33,482.0,881.0,0.55,0.54,344.0,433.0,0.79,174.0,498.0,672.0,218.0,88.0,135.0,112.0,132.0,1452.0,30.3,0.6,9.9,27.5,18.8,19.0,2.2,6.0,8.4,29.5,6.4,3.1,9.5,0.25,7.1,2.3,9.4,5.3,33.0,49.0,25434263.0,True,2018-10-27 - 2018-10-29; 2019-01-21 - 2019-02-06; 2019-02-23 - 2019-02-25; 2019-03-02 - 2019-03-04,22.0,High Risk,101869000.0,123733000.0,129817000.0,3382000.0,8641000.0,5337000.0,4449000.0,118724178.12
