Season,Player,Position,Age,Team,TeamID,Years of Service,GP,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Wins,Losses,Salary,Injured,Injury_Periods,Total_Days_Injured,Injury_Risk,Salary Cap,Luxury Tax,1st Apron,BAE,Standard /Non-Taxpayer,Taxpayer,Team Room /Under Cap,Salary_Cap_Inflated,2nd Apron
2018-19,Alex Poythress,Forward,25.00,ATL,1610612737.00,2.00,21.00,1.00,305.00,40.00,81.00,0.49,9.00,23.00,0.39,31.00,58.00,0.53,0.55,18.00,29.00,0.62,29.00,47.00,76.00,17.00,4.00,10.00,13.00,47.00,107.00,12.20,0.57,9.80,16.60,13.10,7.70,0.60,2.80,12.20,14.20,0.40,0.20,0.50,0.09,-2.50,-1.00,-3.50,-0.10,29.00,53.00,77250.00,True,2018-10-26 - 2018-11-01; 2018-11-19 - 2018-12-23; 2019-01-02 - 2019-02-14; 2019-02-27 - 2019-03-03; 2019-03-09 - 2030-06-19,4207.00,High Risk,101869000.00,123733000.00,129817000.00,3382000.00,8641000.00,5337000.00,4449000.00,118724178.12,
2018-19,Alfonzo McKinnie,Forward,26.00,GSW,1610612744.00,1.00,72.00,5.00,1003.00,134.00,275.00,0.49,42.00,118.00,0.36,92.00,157.00,0.59,0.56,27.00,48.00,0.56,81.00,166.00,247.00,31.00,18.00,15.00,30.00,134.00,337.00,11.20,0.57,9.00,16.90,13.10,4.00,0.90,1.30,9.20,13.90,1.20,0.90,2.10,0.10,-2.20,-1.30,-3.50,-0.40,57.00,25.00,1349383.00,False,,0.00,Low Risk,101869000.00,123733000.00,129817000.00,3382000.00,8641000.00,5337000.00,4449000.00,118724178.12,
2018-19,Alize Johnson,Forward,23.00,IND,1610612754.00,0.00,14.00,0.00,64.00,4.00,16.00,0.25,1.00,2.00,0.50,3.00,14.00,0.21,0.28,4.00,8.00,0.50,4.00,15.00,19.00,1.00,1.00,3.00,0.00,7.00,13.00,6.30,0.33,7.10,25.50,16.50,2.00,0.80,4.20,0.00,13.30,-0.10,0.10,0.00,0.03,-5.70,-2.00,-7.70,-0.10,48.00,34.00,838464.00,True,2018-10-17 - 2018-10-19; 2018-10-24 - 2018-10-27; 2018-10-29 - 2018-12-04; 2018-12-18 - 2019-01-08; 2019-01-30 - 2019-04-03; 2019-03-27 - 2019-04-03,132.00,High Risk,101869000.00,123733000.00,129817000.00,3382000.00,8641000.00,5337000.00,4449000.00,118724178.12,
2018-19,Allen Crabbe,Guard-Forward,27.00,BKN,1610612751.00,5.00,43.00,20.00,1133.00,137.00,373.00,0.37,98.00,259.00,0.38,39.00,114.00,0.34,0.50,41.00,56.00,0.73,16.00,132.00,148.00,46.00,23.00,13.00,46.00,102.00,413.00,7.70,0.52,1.50,12.20,6.90,5.80,1.00,0.90,10.40,16.40,-0.20,1.00,0.80,0.04,-2.40,-0.40,-2.80,-0.20,42.00,40.00,19332500.00,True,2018-10-17 - 2018-10-19; 2018-12-14 - 2019-02-06; 2019-03-16 - 2019-11-10,295.00,High Risk,101869000.00,123733000.00,129817000.00,3382000.00,8641000.00,5337000.00,4449000.00,118724178.12,
2018-19,Allonzo Trier,Guard,23.00,NYK,1610612752.00,0.00,64.00,3.00,1459.00,232.00,518.00,0.45,52.00,132.00,0.39,180.00,386.00,0.47,0.50,179.00,223.00,0.80,31.00,166.00,197.00,119.00,28.00,14.00,116.00,117.00,695.00,12.20,0.56,2.20,12.20,7.10,12.90,0.90,0.80,15.80,21.50,0.40,0.50,0.90,0.03,-1.60,-1.50,-3.10,-0.40,17.00,65.00,3382000.00,True,2018-12-12 - 2018-12-25; 2019-03-20 - 2019-12-20,288.00,High Risk,101869000.00,123733000.00,129817000.00,3382000.00,8641000.00,5337000.00,4449000.00,118724178.12,
2018-19,Amile Jefferson,Forward,26.00,ORL,1610612753.00,1.00,12.00,0.00,68.00,10.00,16.00,0.62,0.00,0.00,,10.00,16.00,0.62,0.62,7.00,8.00,0.88,6.00,15.00,21.00,3.00,3.00,3.00,1.00,8.00,27.00,21.10,0.69,9.30,24.00,16.50,6.40,2.20,3.70,4.90,13.10,0.20,0.10,0.40,0.26,0.50,2.00,2.50,0.10,42.00,40.00,77250.00,False,,0.00,Low Risk,101869000.00,123733000.00,129817000.00,3382000.00,8641000.00,5337000.00,4449000.00,118724178.12,
2018-19,Amir Johnson,Center-Forward,32.00,PHI,1610612755.00,13.00,51.00,6.00,529.00,79.00,157.00,0.50,12.00,40.00,0.30,67.00,117.00,0.57,0.54,31.00,41.00,0.76,47.00,100.00,147.00,60.00,16.00,13.00,45.00,99.00,201.00,13.10,0.57,9.70,19.50,14.70,16.00,1.40,1.90,20.50,17.40,0.40,0.70,1.10,0.10,-2.90,0.60,-2.30,0.00,51.00,31.00,2393887.00,True,2019-07-01 - 2030-06-19,4006.00,High Risk,101869000.00,123733000.00,129817000.00,3382000.00,8641000.00,5337000.00,4449000.00,118724178.12,
2018-19,Andre Drummond,Center,25.00,DET,1610612765.00,6.00,79.00,79.00,2647.00,561.00,1052.00,0.53,5.00,38.00,0.13,556.00,1014.00,0.55,0.54,243.00,412.00,0.59,423.00,809.00,1232.00,112.00,136.00,138.00,175.00,272.00,1370.00,23.40,0.56,16.80,34.70,25.40,7.20,2.50,4.40,12.40,22.90,4.10,5.90,10.00,0.18,1.30,0.80,2.10,2.70,41.00,41.00,25434262.00,True,2019-01-19 - 2019-01-25,6.00,Low Risk,101869000.00,123733000.00,129817000.00,3382000.00,8641000.00,5337000.00,4449000.00,118724178.12,
2018-19,Andre Iguodala,Guard-Forward,35.00,GSW,1610612744.00,14.00,68.00,13.00,1578.00,151.00,302.00,0.50,48.00,144.00,0.33,103.00,158.00,0.65,0.58,39.00,67.00,0.58,48.00,204.00,252.00,216.00,61.00,51.00,52.00,95.00,389.00,13.10,0.59,3.40,13.20,8.50,16.80,1.80,2.70,13.60,10.40,2.40,1.80,4.20,0.13,0.10,1.70,1.80,1.50,57.00,25.00,16000000.00,True,2018-10-19 - 2018-10-21; 2018-11-05 - 2018-11-08; 2018-12-12 - 2018-12-17; 2019-02-10 - 2019-02-12; 2019-02-13 - 2019-02-21; 2019-02-28 - 2019-03-02; 2019-03-18 - 2019-03-19; 2019-04-04 - 2019-04-10; 2019-05-20 - 2019-05-30,39.00,High Risk,101869000.00,123733000.00,129817000.00,3382000.00,8641000.00,5337000.00,4449000.00,118724178.12,
2018-19,Andrew Bogut,Center,34.00,GSW,1610612744.00,13.00,11.00,5.00,134.00,18.00,36.00,0.50,0.00,0.00,,18.00,36.00,0.50,0.50,3.00,3.00,1.00,12.00,43.00,55.00,11.00,3.00,8.00,8.00,22.00,39.00,13.40,0.52,10.00,32.80,21.90,10.60,1.10,5.00,17.70,14.50,0.10,0.20,0.30,0.11,-3.70,0.80,-2.90,0.00,57.00,25.00,486892.00,False,,0.00,Low Risk,101869000.00,123733000.00,129817000.00,3382000.00,8641000.00,5337000.00,4449000.00,118724178.12,
